"","msa_id","fipsstatecode","year","state_abb","ever_smoke","current_smoker","stop_smoking","N","metrodivisioncode","csacode","cbsatitle","metropolitanmicropolitanstatis","metropolitandivisiontitle","csatitle","countycountyequivalent","statename","fipscountycode","centraloutlyingcounty","abb","year_change_per","tax_change_dose","numtaxinc","tax_change0203","year_around","treat","tax_change","X.x","pop1990","pop2000","unemp1990","unemp2000","unemp2010","cig_sales_pc2000","anti1992","anti1995","anti1998","cig_sales_pc1990","cig_sales_pc2010","log_cigsales90","log_cigsales00","log_cigsales10","log_pop90","log_pop00","change90to00","change00to10","log_change_sales","log_change_sales00to10","per_barban00","per_barban05","per_barban10","msa_pop10","msa_pop00","log_msapop00","log_msapop10","cigtax","cbsaunp00","wage_index","X","factor98","current_smoker98","ever_smoke98","factor01","current_smoker01","ever_smoke01","change_cursmk","change_evrsmk","pcurrent_smoker98","pcurrent_smoker01","pfactor98","pfactor01"
"1",10740,35,2009,"NM",0.455445544554455,19.031903190319,0.552023121387283,1818,NA,106,"Albuquerque, NM","Metropolitan Statistical Area","","Albuquerque-Santa Fe-Las Vegas, NM","Bernalillo County","New Mexico",1,"Central","NM",2010,0.75,1,1,-1,1,0,32,1515069,1819046,6.6,4.9,8.1,53.8,0.0027,0.0615,0.1868,70.8,30.3,4.25985900069967,3.98527346716774,3.41114771251532,14.2309715404429,14.4138227458006,17,23.5,2.83321334405622,3.15700042115011,110.102504068755,100,100,887077,729649,13.5003188755748,13.6956870669941,0.91,3.125,1.0486,3,-0.0319609605347886,0.213333333333333,0.42,0.198776188147261,0.192660550458716,0.406727828746177,0.0206727828746177,0.0132721712538226,0.198436713257668,0.162673256441682,0.0407769844948847,0.189032063113714
"2",10740,35,2008,"NM",0.444537114261885,19.5996663886572,0.540425531914894,1199,NA,106,"Albuquerque, NM","Metropolitan Statistical Area","","Albuquerque-Santa Fe-Las Vegas, NM","Bernalillo County","New Mexico",1,"Central","NM",2010,0.75,1,1,-2,1,0,32,1515069,1819046,6.6,4.9,8.1,53.8,0.0027,0.0615,0.1868,70.8,30.3,4.25985900069967,3.98527346716774,3.41114771251532,14.2309715404429,14.4138227458006,17,23.5,2.83321334405622,3.15700042115011,110.102504068755,100,100,887077,729649,13.5003188755748,13.6956870669941,0.91,3.125,1.0486,3,-0.0319609605347886,0.213333333333333,0.42,0.198776188147261,0.192660550458716,0.406727828746177,0.0206727828746177,0.0132721712538226,0.198436713257668,0.162673256441682,0.0407769844948847,0.189032063113714
"3",10740,35,2010,"NM",0.443619176232275,18.5685347738015,0.607272727272727,1481,NA,106,"Albuquerque, NM","Metropolitan Statistical Area","","Albuquerque-Santa Fe-Las Vegas, NM","Bernalillo County","New Mexico",1,"Central","NM",2010,0.75,1,1,0,1,1,32,1515069,1819046,6.6,4.9,8.1,53.8,0.0027,0.0615,0.1868,70.8,30.3,4.25985900069967,3.98527346716774,3.41114771251532,14.2309715404429,14.4138227458006,17,23.5,2.83321334405622,3.15700042115011,110.102504068755,100,100,887077,729649,13.5003188755748,13.6956870669941,0.91,3.125,1.0486,3,-0.0319609605347886,0.213333333333333,0.42,0.198776188147261,0.192660550458716,0.406727828746177,0.0206727828746177,0.0132721712538226,0.198436713257668,0.162673256441682,0.0407769844948847,0.189032063113714
"4",10740,35,2006,"NM",0.450581395348837,20.421511627907,0.583629893238434,1376,NA,106,"Albuquerque, NM","Metropolitan Statistical Area","","Albuquerque-Santa Fe-Las Vegas, NM","Bernalillo County","New Mexico",1,"Central","NM",2010,0.75,1,1,-4,1,0,32,1515069,1819046,6.6,4.9,8.1,53.8,0.0027,0.0615,0.1868,70.8,30.3,4.25985900069967,3.98527346716774,3.41114771251532,14.2309715404429,14.4138227458006,17,23.5,2.83321334405622,3.15700042115011,13.5701681751992,12.3250313786915,11.6251410679748,887077,729649,13.5003188755748,13.6956870669941,0.91,3.125,1.0486,3,-0.0319609605347886,0.213333333333333,0.42,0.198776188147261,0.192660550458716,0.406727828746177,0.0206727828746177,0.0132721712538226,0.198436713257668,0.162673256441682,0.0407769844948847,0.189032063113714
"5",10740,35,2007,"NM",0.460068259385666,21.3651877133106,0.616613418530351,1465,NA,106,"Albuquerque, NM","Metropolitan Statistical Area","","Albuquerque-Santa Fe-Las Vegas, NM","Bernalillo County","New Mexico",1,"Central","NM",2010,0.75,1,1,-3,1,0,32,1515069,1819046,6.6,4.9,8.1,53.8,0.0027,0.0615,0.1868,70.8,30.3,4.25985900069967,3.98527346716774,3.41114771251532,14.2309715404429,14.4138227458006,17,23.5,2.83321334405622,3.15700042115011,52.6632213117094,47.8310840948933,48.1466422972136,887077,729649,13.5003188755748,13.6956870669941,0.91,3.125,1.0486,3,-0.0319609605347886,0.213333333333333,0.42,0.198776188147261,0.192660550458716,0.406727828746177,0.0206727828746177,0.0132721712538226,0.198436713257668,0.162673256441682,0.0407769844948847,0.189032063113714
"6",10740,35,2005,"NM",0.448516579406632,22.1640488656195,0.519685039370079,1146,NA,106,"Albuquerque, NM","Metropolitan Statistical Area","","Albuquerque-Santa Fe-Las Vegas, NM","Bernalillo County","New Mexico",1,"Central","NM",2010,0.75,1,1,-5,1,0,32,1515069,1819046,6.6,4.9,8.1,53.8,0.0027,0.0615,0.1868,70.8,30.3,4.25985900069967,3.98527346716774,3.41114771251532,14.2309715404429,14.4138227458006,17,23.5,2.83321334405622,3.15700042115011,5.65148616623362,5.13293154777341,4.94934852244358,887077,729649,13.5003188755748,13.6956870669941,0.91,3.125,1.0486,3,-0.0319609605347886,0.213333333333333,0.42,0.198776188147261,0.192660550458716,0.406727828746177,0.0206727828746177,0.0132721712538226,0.198436713257668,0.162673256441682,0.0407769844948847,0.189032063113714
"7",10740,35,2004,"NM",0.462820512820513,22.5,0.518518518518518,1560,NA,106,"Albuquerque, NM","Metropolitan Statistical Area","","Albuquerque-Santa Fe-Las Vegas, NM","Bernalillo County","New Mexico",1,"Central","NM",2010,0.75,1,1,-6,1,0,32,1515069,1819046,6.6,4.9,8.1,53.8,0.0027,0.0615,0.1868,70.8,30.3,4.25985900069967,3.98527346716774,3.41114771251532,14.2309715404429,14.4138227458006,17,23.5,2.83321334405622,3.15700042115011,5.24421094709191,4.76302604690725,4.59454119184865,887077,729649,13.5003188755748,13.6956870669941,0.91,3.125,1.0486,3,-0.0319609605347886,0.213333333333333,0.42,0.198776188147261,0.192660550458716,0.406727828746177,0.0206727828746177,0.0132721712538226,0.198436713257668,0.162673256441682,0.0407769844948847,0.189032063113714
"8",10900,34,2007,"NJ",0.508235294117647,25.1764705882353,0.598130841121495,425,NA,408,"Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area","","New York-Newark, NY-NJ-CT-PA","Warren County","New Jersey",41,"Central","NJ",2004,0.216666666666667,3,1,3,1,1,31,7747750,8414350,5,3.7,9.5,60.1,-0.0346,-0.003,0.0981,98.6,31.1,4.59107126160859,4.09600984154116,3.43720781918519,15.8629130365971,15.9454491396052,38.5,29,3.65065824129374,3.36729582998647,79.8658929490014,78.8328775421124,78.438614824691,821173,740395,13.5149391065522,13.6184890848723,2.575,3.68731563421829,0.9519,4,-0.128647634719866,0.252252252252252,0.513513513513513,-0.0340250719944269,0.149068322981366,0.341614906832298,0.103183929270886,0.171898606681215,0.210523793871173,0.172433583619561,-0.0675624485112629,0.0587314647974911
"9",10900,34,2010,"NJ",0.457461645746165,20.2231520223152,0.593103448275862,717,NA,408,"Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area","","New York-Newark, NY-NJ-CT-PA","Warren County","New Jersey",41,"Central","NJ",2004,0.216666666666667,3,1,6,1,1,31,7747750,8414350,5,3.7,9.5,60.1,-0.0346,-0.003,0.0981,98.6,31.1,4.59107126160859,4.09600984154116,3.43720781918519,15.8629130365971,15.9454491396052,38.5,29,3.65065824129374,3.36729582998647,82.0137716931241,80.9529748171639,80.6061042845303,821173,740395,13.5149391065522,13.6184890848723,2.7,3.68731563421829,0.9519,4,-0.128647634719866,0.252252252252252,0.513513513513513,-0.0340250719944269,0.149068322981366,0.341614906832298,0.103183929270886,0.171898606681215,0.210523793871173,0.172433583619561,-0.0675624485112629,0.0587314647974911
"10",10900,34,2009,"NJ",0.507666098807496,20.6132879045997,0.628099173553719,587,NA,408,"Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area","","New York-Newark, NY-NJ-CT-PA","Warren County","New Jersey",41,"Central","NJ",2004,0.216666666666667,3,1,5,1,1,31,7747750,8414350,5,3.7,9.5,60.1,-0.0346,-0.003,0.0981,98.6,31.1,4.59107126160859,4.09600984154116,3.43720781918519,15.8629130365971,15.9454491396052,38.5,29,3.65065824129374,3.36729582998647,82.0137716931241,80.9529748171639,80.6061042845303,821173,740395,13.5149391065522,13.6184890848723,2.575,3.68731563421829,0.9519,4,-0.128647634719866,0.252252252252252,0.513513513513513,-0.0340250719944269,0.149068322981366,0.341614906832298,0.103183929270886,0.171898606681215,0.210523793871173,0.172433583619561,-0.0675624485112629,0.0587314647974911
